Date,Open,High,Low,Close,Adj Close,Volume
2023-04-12,4763.350098,4919.600098,4726.200195,4881.000000,4843.125977,680639
2023-04-13,4888.000000,4888.000000,4831.200195,4852.899902,4815.243652,233867
2023-04-17,4876.950195,4922.950195,4819.750000,4852.299805,4814.648438,341135
2023-04-18,4861.399902,4918.000000,4845.500000,4912.399902,4874.282227,359410
2023-04-19,4887.399902,4940.000000,4880.549805,4909.350098,4871.255859,384187
2023-04-20,4916.000000,4916.000000,4822.250000,4858.200195,4820.502930,635170
2023-04-21,4858.100098,4879.000000,4823.149902,4868.750000,4830.970703,331439
2023-04-24,4854.000000,4854.000000,4752.100098,4806.100098,4768.807129,438166
2023-04-25,4803.549805,4841.149902,4757.750000,4833.299805,4795.795898,327997
2023-04-26,4810.000000,4874.250000,4810.000000,4845.100098,4807.504395,204153
2023-04-27,4845.000000,4939.000000,4818.100098,4918.549805,4880.384277,219656
2023-04-28,4918.549805,4935.000000,4877.100098,4929.850098,4891.596680,247044
2023-05-02,4903.399902,4958.950195,4903.399902,4950.399902,4911.987305,241978
2023-05-03,4949.899902,4960.000000,4915.000000,4952.250000,4913.822754,176775
2023-05-04,4952.250000,4975.000000,4920.350098,4968.000000,4929.450684,201327
2023-05-05,4974.950195,4989.000000,4925.549805,4942.500000,4904.148438,92309
2023-05-08,4945.000000,4966.700195,4846.649902,4907.100098,4869.023438,238183
2023-05-09,4918.049805,4939.899902,4890.049805,4933.250000,4894.970215,309059
2023-05-10,4964.850098,4964.850098,4839.899902,4867.299805,4829.531738,454301
2023-05-11,4675.000000,4700.000000,4524.049805,4532.000000,4496.833984,2783359
2023-05-12,4544.950195,4544.950195,4445.000000,4466.100098,4431.445313,1048404
2023-05-15,4470.149902,4532.100098,4446.500000,4518.549805,4483.488281,317753
2023-05-16,4523.000000,4547.899902,4504.549805,4515.049805,4480.015137,286047
2023-05-17,4519.799805,4545.049805,4451.100098,4481.500000,4446.725586,349961
2023-05-18,4492.000000,4502.200195,4404.899902,4423.100098,4388.778809,425447
2023-05-19,4427.950195,4440.000000,4384.049805,4391.950195,4357.870605,326081
2023-05-22,4409.000000,4469.850098,4384.250000,4457.649902,4423.060547,244976
2023-05-23,4458.100098,4499.649902,4446.049805,4460.549805,4425.937988,323295
2023-05-24,4465.000000,4524.000000,4459.899902,4519.250000,4484.182617,336733
2023-05-25,4533.899902,4533.899902,4482.399902,4503.950195,4469.001953,206764
2023-05-26,4505.049805,4539.000000,4499.950195,4530.950195,4495.791992,150587
2023-05-29,4547.899902,4569.000000,4520.000000,4556.250000,4520.895508,185628
2023-05-30,4556.250000,4556.250000,4498.850098,4518.899902,4483.835449,273989
2023-05-31,4510.000000,4529.649902,4480.950195,4501.049805,4466.124023,1262701
2023-06-01,4509.850098,4559.950195,4501.049805,4552.049805,4516.728027,305791
2023-06-02,4568.950195,4620.000000,4565.049805,4610.450195,4574.675293,501913
2023-06-05,4631.000000,4652.000000,4596.700195,4603.549805,4567.828613,226428
2023-06-06,4610.000000,4640.000000,4605.000000,4636.649902,4600.671875,232331
2023-06-07,4650.000000,4678.000000,4645.100098,4673.750000,4637.483887,227905
2023-06-08,4675.000000,4693.000000,4637.000000,4649.399902,4613.322754,240698
2023-06-09,4681.049805,4705.000000,4645.600098,4666.799805,4630.587891,216940
2023-06-12,4695.000000,4695.000000,4654.450195,4675.649902,4639.369141,143574
2023-06-13,4700.000000,4728.799805,4658.049805,4702.000000,4665.514648,258981
2023-06-14,4707.799805,4729.549805,4685.000000,4699.000000,4662.538086,180251
2023-06-15,4696.600098,4855.000000,4696.000000,4803.450195,4766.177734,726149
2023-06-16,4844.850098,4940.000000,4825.149902,4915.049805,4876.911621,762903
2023-06-19,4951.000000,5024.000000,4862.049805,4879.000000,4841.141113,708151
2023-06-20,4879.000000,4926.750000,4867.049805,4901.200195,4863.169434,214151
2023-06-21,4921.950195,4950.000000,4893.700195,4910.399902,4872.297363,224710
2023-06-22,4911.549805,4926.950195,4890.000000,4899.450195,4861.432617,248570
2023-06-23,4901.000000,5015.000000,4901.000000,4993.899902,4955.149902,558228
2023-06-26,4989.899902,5074.000000,4952.000000,5041.600098,5002.479980,721425
2023-06-27,5041.600098,5086.549805,5016.000000,5025.600098,4986.604004,666063
2023-06-28,5025.600098,5025.600098,5025.600098,5025.600098,4986.604004,0
2023-06-30,5116.000000,5174.950195,5110.100098,5159.600098,5119.563965,486141
2023-07-03,5159.600098,5179.000000,5090.299805,5098.299805,5058.739258,234827
2023-07-04,5114.899902,5204.750000,5085.049805,5188.399902,5148.140625,372667
2023-07-05,5185.000000,5201.799805,5137.000000,5178.350098,5138.168457,282054
2023-07-06,5178.450195,5258.500000,5170.000000,5231.799805,5191.203613,506874
2023-07-07,5230.000000,5273.149902,5110.000000,5182.500000,5142.286133,554344
2023-07-10,5194.950195,5215.000000,5145.000000,5154.950195,5114.950195,200725
2023-07-11,5144.000000,5215.000000,5113.549805,5165.850098,5165.850098,211361
2023-07-12,5150.000000,5198.950195,5130.000000,5189.000000,5189.000000,240718
2023-07-13,5190.000000,5203.149902,5134.899902,5142.450195,5142.450195,406983
2023-07-14,5155.000000,5164.899902,5076.250000,5092.049805,5092.049805,388409
2023-07-17,5099.649902,5245.000000,5093.000000,5229.750000,5229.750000,395354
2023-07-18,5203.500000,5215.700195,5146.549805,5191.000000,5191.000000,257391
2023-07-19,5184.000000,5270.000000,5161.600098,5221.350098,5221.350098,392317
2023-07-20,5249.000000,5394.700195,5240.000000,5339.299805,5339.299805,1203206
2023-07-21,5323.299805,5339.750000,5277.600098,5288.200195,5288.200195,230074
2023-07-24,5278.250000,5436.850098,5278.250000,5391.700195,5391.700195,423905
2023-07-25,5420.000000,5479.950195,5391.850098,5425.399902,5425.399902,432431
2023-07-26,5440.000000,5490.000000,5401.049805,5475.649902,5475.649902,340212
2023-07-27,5530.000000,5614.000000,5420.049805,5507.000000,5507.000000,1507811
2023-07-28,5512.000000,5618.000000,5512.000000,5583.000000,5583.000000,636108
2023-07-31,5584.549805,5660.399902,5570.000000,5640.450195,5640.450195,319898
2023-08-01,5639.850098,5709.350098,5607.100098,5667.049805,5667.049805,424547
2023-08-02,5667.100098,5695.850098,5634.450195,5660.450195,5660.450195,358359
2023-08-03,5645.000000,5734.000000,5621.500000,5659.500000,5659.500000,514054
