Date,Open,High,Low,Close,Adj Close,Volume
2022-11-30,3139.899902,3199.949951,3133.300049,3175.149902,3154.145508,2547283
2022-12-01,3191.000000,3197.000000,3161.250000,3179.350098,3158.317871,761717
2022-12-02,3173.149902,3174.300049,3134.000000,3143.449951,3122.655029,932259
2022-12-05,3130.000000,3168.699951,3112.500000,3156.899902,3136.016113,926122
2022-12-06,3125.000000,3169.000000,3125.000000,3161.699951,3140.784424,958365
2022-12-07,3180.000000,3234.699951,3176.399902,3226.500000,3205.155762,1832282
2022-12-08,3230.000000,3240.899902,3202.649902,3221.449951,3200.139160,851312
2022-12-09,3235.000000,3242.350098,3206.000000,3226.949951,3205.602783,847879
2022-12-12,3227.000000,3230.000000,3141.899902,3166.350098,3145.403809,1323816
2022-12-13,3185.000000,3185.000000,3142.649902,3178.500000,3157.473389,886601
2022-12-14,3179.000000,3195.000000,3125.000000,3145.949951,3125.138672,1103870
2022-12-15,3142.000000,3161.199951,3116.699951,3130.600098,3109.890381,799124
2022-12-16,3115.000000,3117.000000,3050.300049,3055.899902,3035.684326,1192821
2022-12-19,3062.000000,3088.000000,3041.000000,3080.949951,3060.568604,655594
2022-12-20,3075.050049,3088.649902,3018.000000,3082.149902,3061.760498,739257
2022-12-21,3085.000000,3112.449951,3050.050049,3069.649902,3049.343262,616324
2022-12-22,3074.000000,3093.500000,3038.050049,3088.550049,3068.118408,663202
2022-12-23,3078.949951,3086.850098,3036.000000,3057.899902,3037.671143,1230858
2022-12-26,3057.899902,3071.899902,3028.800049,3056.050049,3035.833496,536884
2022-12-27,3060.000000,3129.000000,3056.300049,3112.600098,3092.009277,729041
2022-12-28,3109.949951,3143.800049,3105.000000,3123.699951,3103.035889,972274
2022-12-29,3101.000000,3125.000000,3092.550049,3115.149902,3094.542236,596265
2022-12-30,3130.750000,3130.750000,3071.300049,3087.899902,3067.472656,836220
2023-01-02,3087.899902,3087.899902,3021.000000,3047.250000,3027.091553,1015990
